sl.no,word,mood,score
266,anxiety,negative,-1
267,anxious,negative,-1
268,anxiously,negative,-1
269,anxiousness,negative,-1
270,apathetic,negative,-1
271,apathetically,negative,-1
272,apathy,negative,-1
273,apocalypse,negative,-1
274,apocalyptic,negative,-1
275,apologist,negative,-1
276,apologists,negative,-1
277,apotheosis,positive,1
278,appal,negative,-1
279,appall,negative,-1
280,appalled,negative,-1
281,appalling,negative,-1
282,appallingly,negative,-1
283,appeal,positive,1
284,appealing,positive,1
285,applaud,positive,1
286,appreciable,positive,1
287,appreciate,positive,1
288,appreciated,positive,1
289,appreciates,positive,1
290,appreciative,positive,1
291,appreciatively,positive,1
292,apprehension,negative,-1
293,apprehensions,negative,-1
294,apprehensive,negative,-1
295,apprehensively,negative,-1
296,appropriate,positive,1
297,approval,positive,1
298,approve,positive,1
299,arbitrary,negative,-1
300,arcane,negative,-1
301,archaic,negative,-1
302,ardent,positive,1
303,ardently,positive,1
304,ardor,positive,1
305,arduous,negative,-1
306,arduously,negative,-1
307,argumentative,negative,-1
308,arrogance,negative,-1
309,arrogant,negative,-1
310,arrogantly,negative,-1
311,articulate,positive,1
312,ashamed,negative,-1
313,asinine,negative,-1
314,asininely,negative,-1
315,asinininity,negative,-1
316,askance,negative,-1
317,asperse,negative,-1
318,aspersion,negative,-1
319,aspersions,negative,-1
320,aspiration,positive,1
321,aspirations,positive,1
322,aspire,positive,1
323,assail,negative,-1
324,assassin,negative,-1
325,assassinate,negative,-1
326,assault,negative,-1
327,assult,negative,-1
328,assurance,positive,1
329,assurances,positive,1
330,assure,positive,1
331,assuredly,positive,1
332,assuring,positive,1
333,astonish,positive,1
334,astonished,positive,1
335,astonishing,positive,1
336,astonishingly,positive,1
337,astonishment,positive,1
338,astound,positive,1
339,astounded,positive,1
340,astounding,positive,1
341,astoundingly,positive,1
342,astray,negative,-1
343,astutely,positive,1
344,asunder,negative,-1
345,atrocious,negative,-1
346,atrocities,negative,-1
347,atrocity,negative,-1
348,atrophy,negative,-1
349,attack,negative,-1
350,attacks,negative,-1
351,attentive,positive,1
352,attraction,positive,1
353,attractive,positive,1
354,attractively,positive,1
355,attune,positive,1
356,audacious,negative,-1
357,audaciously,negative,-1
358,audaciousness,negative,-1
359,audacity,negative,-1
360,audible,positive,1
